Source,Harga lama,Harga baru,Judul,No. ISBN,"Penerbit									",Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://bukukita.com/Agama/Islam/108931-Abu-Darda-Pedagang-dan-Ulama-Besar.html,Rp 27.000,Rp 25.650,Abu Darda Pedagang dan Ulama Besar,978,Titian Ilmu ,2007,50,140 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Sejarah-Dunia/166696-Homo-Deva.html,Rp 95.000,Rp 90.250,Homo Deva,9.78623E+12,Alvabet ,Sep-20,-,450 gr,soft cover,-,Sejarah Dunia,-,Indonesia ··
https://bukukita.com/Hobi-dan-Usaha/Keterampilan-&-Desain/147423-Menggambar-Teknik-kejuruan-Logam.html,Rp 50.400,Rp 47.880,Menggambar Teknik - kejuruan Logam,9.7898E+12,Angkasa ,Nov-16,40,320 gr,Soft Cover,-,Keterampilan & Desain,-,Indonesia ··
https://bukukita.com/Buku-Novel/Remaja/111609-Dunia-Paralel-Anya.html,Rp 55.000,Rp 52.250,Dunia Paralel Anya,9.78602E+12,MNM Artha Publishing ,Maret - 2013,-,250 gr,Soft Cover,-,Remaja,-,Indonesia ··
https://bukukita.com/Agama/Islam/133284-Persiapan-Berhaji-untuk-Perempuan.html,Rp 36.000,Rp 34.200,Persiapan Berhaji untuk Perempuan,9.78603E+12,Stiletto Book ,Maret - 2015,-,200 gr,Soft Cover,-,Islam,-,Indonesia ··
"https://bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168226-Buku-Bangun-Karakter-Diri,-Raih-Impian-Anda.html",Rp 77.000,Rp 73.150,"Buku Bangun Karakter Diri, Raih Impian Anda",9.78624E+12,Gemilang ,Oktober - 2021,336,270 gr,soft cover,-,Pengembangan Diri,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Sejarah-Agama/169694-Banjir-Besar-Zaman-Nabi-Nuh.html,Rp 89.000,Rp 84.550,Banjir Besar Zaman Nabi Nuh ( Riwayat dalam Alquran dan cerita-cerita kuno ) ,9.78623E+12,Alvabet ,Februari - 2023,280,300 gr,Soft Cover,13x20mm,Sejarah Agama,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Sejarah-Dunia/169265-Andalusia.html,Rp 199.000,Rp 189.050,Andalusia,9.78623E+12,Alvabet ,Agustus - 2022,-,875 gr,Hard Cover,15x24mm,Sejarah Dunia,-,Indonesia ··
https://bukukita.com/Buku-Novel/Romance/152480-Love-Theft.html,Rp 89.000,Rp 84.550,Love Theft,9.78603E+12,Inari  ,Sep-17,408,400 gr,Soft Cover,13x19mm,Romance,-,Indonesia ··
https://bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/94685-Anda-Layak-Jadi-Miliarder.html,Rp 40.000,Rp 38.000,Anda Layak Jadi Miliarder,9.78979E+12,Simbiosa Rekatama Media ,Juli - 2011,-,200 gr,Soft Cover,-,Motivasi,-,Indonesia ··
https://bukukita.com/Buku-Novel/Sejarah-Fiksi/168615-Ya-juj-&-Ma-juj-:-Riwayat-Sang-Penghancur-Peradaban-Bangsa-Bangsa-di-Dunia-Sepanjang-Zaman.html,Rp 110.000,Rp 104.500,Ya juj & Ma juj : Riwayat Sang Penghancur Peradaban Bangsa-Bangsa di Dunia Sepanjang Zaman,9.78623E+12,Alvabet ,Maret - 2022,464,500 gr,Soft Cover,-,Sejarah Fiksi,-,Indonesia ··
https://bukukita.com/Anak-Anak/Pendidikan-Anak/163267-Adik-Kebanggaan.html,Rp 28.000,Rp 26.600,Adik Kebanggaan (Seri Pendidikan Akhlak untuk Anak),9.78603E+12,Indiva Media Kreasi ,Agustus - 2019,-,200 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
